label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
FIST,0.0,0.0,0.0,-0.3216787734546603,-0.20367234203016887,-0.06553649319295281,-0.5701353378128858,-0.530900928991494,-0.10690835304047562,-0.6870306885236538,-0.89605271984258,-0.17062708647567437,-0.5817427660540011,-1.1875679662052954,-0.21364493307759946,-0.4244015282954468,-0.92641547674252,0.11408383166452314,-0.5195888796239608,-1.2007737049599334,-0.0404289185968818,-0.47903812301394133,-0.9347536131512039,-0.1407044351532723,-0.421223689876562,-0.7500309103333366,-0.18091528804625634,-0.2541092350048206,-0.9671755252720494,0.08632564534263855,-0.36221544310855885,-1.255789976686257,-0.0715584852576094,-0.3174180282342937,-0.9031963718132056,-0.12173548227692406,-0.25596737159790617,-0.7106046505857272,-0.10452384223876658,-0.0660349546425778,-0.9681667550575066,0.02465346677932507,-0.16463380897960045,-1.2500232687758264,-0.12951099292522103,-0.15747562284789773,-0.8929225087515323,-0.09233534802039803,-0.11767773578167122,-0.6779841794643208,-0.00997613200229876,0.14350807045034228,-0.9193952533398105,-0.04572323832199737,0.031129713399853855,-1.159976762021516,-0.11760002432007291,-0.009022583594175385,-0.9199517999078238,-0.06638298229929898,0.00456327937324803,-0.739302910638624,0.0036114761125905204
FIST,0.0,0.0,0.0,-0.32621894402651963,-0.20417774720822823,-0.062214333785799304,-0.5723155604597695,-0.5302051059092222,-0.1023102294250733,-0.6874301074737916,-0.8963434854067684,-0.16539369621774389,-0.5876491087939487,-1.1916412301226535,-0.2071380099239533,-0.4262881049620655,-0.9277023059346564,0.11788994000509877,-0.5231195859344292,-1.2061725849300702,-0.0374353488076983,-0.4816802402142321,-0.9370057341574649,-0.13866131118192,-0.422745232936467,-0.7492747468591019,-0.1789750230907774,-0.25597704139667676,-0.9666828612724051,0.08892183264713148,-0.3658710563474268,-1.2580568040756814,-0.06809820202915355,-0.3197447044821759,-0.9052704652706492,-0.11792995833925647,-0.25721775244630923,-0.7118356131053196,-0.10078819045006362,-0.06819406837255712,-0.965716643817824,0.02607647329279583,-0.16876135115446983,-1.2462627666210389,-0.12646337600884466,-0.15952716254053553,-0.8905988386342513,-0.08812517069545447,-0.11668084107884617,-0.6746165223803867,-0.0053107353521887595,0.1413279010740194,-0.9166102998541331,-0.04544552356530114,0.02598143498172937,-1.1519823955096227,-0.11584570466391302,-0.014794196429453623,-0.913191342080015,-0.0639481739794192,0.0006038859091131502,-0.7333323829349189,0.0064314441702712916
FIST,0.0,0.0,0.0,-0.32366633120290733,-0.20306159309003446,-0.06449188383875108,-0.5701534667422631,-0.5310381250708173,-0.10540558118100382,-0.6848024707944643,-0.8962083375859957,-0.1685943808091219,-0.5854694632407511,-1.191381150093627,-0.21029392757710785,-0.42622816983349954,-0.9280976222610887,0.11386288724160695,-0.5228592135342763,-1.2037161340858156,-0.04190625707642897,-0.4795219690887971,-0.9331481332747388,-0.14241768771115662,-0.421196756352487,-0.7469880812458211,-0.18227251112247578,-0.25562092370777595,-0.9667770908346884,0.08601135457362892,-0.3635601781754028,-1.252439781442512,-0.07136001656348669,-0.3165431762059429,-0.8979203752177416,-0.12040800602319518,-0.255752584344548,-0.7079763156043274,-0.1030825208009792,-0.06777017834829559,-0.9660190311274036,0.02423735738568949,-0.16541923287708288,-1.2430918762316963,-0.12983808679356615,-0.1555237901717049,-0.884206774045974,-0.09069246289481676,-0.114291318499742,-0.6701928583267123,-0.007307754382222471,0.14114514551044033,-0.9174926500490108,-0.04620122897625635,0.02764176873963962,-1.1510125609274469,-0.11769209114182101,-0.011159924042840628,-0.9106943777837399,-0.06517185429677295,0.004198536381159284,-0.7338094356647605,0.005746109096627039
FIST,0.0,0.0,0.0,-0.3263774496031767,-0.20156812027548468,-0.06452320701663582,-0.5748977425031782,-0.5273645162780741,-0.10415165526030887,-0.6910930304811319,-0.8931209837831013,-0.16634351994608182,-0.5929180083640405,-1.1886746357806808,-0.20744287194333938,-0.4342693519093043,-0.9234368627101253,0.11666655637417309,-0.5292637877084773,-1.2018460786774428,-0.03941896358899526,-0.4866802524897619,-0.9350514487501943,-0.14174689815628597,-0.4284176635314112,-0.745790347904855,-0.18279011295040748,-0.26309248202481506,-0.9647706182829277,0.08838521773082607,-0.3704974891467708,-1.25569529939084,-0.07034888860507807,-0.3236808509648853,-0.9027841869651549,-0.12208868681438002,-0.2623038773305615,-0.7069094078969644,-0.10565489102356808,-0.07428450458008773,-0.9667551019619158,0.026031745415631666,-0.17249262751815173,-1.2478074632147378,-0.1288925549739515,-0.1633827448164111,-0.8908618527517186,-0.09200897273969257,-0.12303508059271934,-0.6729101680199512,-0.00929787436174119,0.13616112168774183,-0.9193332555263009,-0.04509694254871817,0.023942628964615978,-1.1586799242787698,-0.11823386696656532,-0.016238636537429546,-0.917756717100381,-0.066911582216394,-0.003234263324901092,-0.7347498821853047,0.003807437658660892
FIST,0.0,0.0,0.0,-0.3227731486141403,-0.19979131227655916,-0.06662864231271727,-0.5736900845233067,-0.5260157928681035,-0.1089437390210693,-0.6904545563905079,-0.8925628655527145,-0.17295066611971188,-0.5896123904680712,-1.1892597311403772,-0.21593668036424413,-0.43324642354936793,-0.925276015672263,0.10994508755969275,-0.5275456909662164,-1.205909398699205,-0.046045344107032704,-0.48589053480875083,-0.9409253652438632,-0.14778545888919487,-0.42964563677091977,-0.7528396304161438,-0.18893820472230483,-0.2606370913453339,-0.9654368475540199,0.0822135870182838,-0.3673659418041039,-1.2571885043580342,-0.0770336078135864,-0.3217511283578988,-0.9056994503480781,-0.12895104963823345,-0.262044606544987,-0.7094520962280132,-0.11303506419965087,-0.07174792509463654,-0.9652287742531652,0.020777391218695682,-0.16828901452714615,-1.2459091415738486,-0.13354667290297273,-0.160020673767588,-0.8909739014853267,-0.09674443495216363,-0.12088723177564306,-0.6757453401632,-0.014664389239160672,0.13784095483539732,-0.9167382982952542,-0.049440280948526316,0.025646488606109748,-1.1549938619800415,-0.12120898890226202,-0.011938485304957874,-0.9159690982862878,-0.06972502612935202,0.0033692213307226506,-0.7380666497901869,0.00043019681817898196
FIST,0.0,0.0,0.0,-0.3023718084613827,-0.20347227616279354,-0.0654256032107498,-0.5523160944788505,-0.516258715418226,-0.10998973233185459,-0.6747149210698024,-0.8619452720119546,-0.175008271439578,-0.5892895702050213,-1.1624395686537226,-0.21817225269791266,-0.4162428008414014,-0.9374301782186888,0.09810746829230738,-0.5213664406734004,-1.1828364255415789,-0.05552243577283515,-0.4715072606668203,-0.8938061590354021,-0.14911958747309492,-0.4048740500646062,-0.7223044185317006,-0.18501296334507278,-0.24764122253733778,-0.9688518075021653,0.07134199592242649,-0.36400406858869716,-1.2268515101209447,-0.078104085939068,-0.3122370907482216,-0.8570687815811434,-0.11426408788795486,-0.24165277114424455,-0.6917876115580891,-0.09061443431164548,-0.061470882095015125,-0.9632245776224655,0.011179123883619633,-0.1697268032142059,-1.2140566638833776,-0.13749603073125988,-0.15208376296792964,-0.8456043093139569,-0.08756060374940197,-0.09648858870919584,-0.6587745295971834,0.00044030015125732364,0.14582804302545288,-0.9125306531638819,-0.057458412587627426,0.02016827485306517,-1.141457992731028,-0.12324684787726885,-0.011608386101469937,-0.8938558988398779,-0.06282545493177537,0.017418216330045498,-0.7299818126189956,0.012296091640803627
FIST,0.0,0.0,0.0,-0.3197421209063277,-0.21103986646364398,-0.06355089700097978,-0.5593037515128699,-0.55699714835489,-0.09980753831846817,-0.6546922270534465,-0.9299807444015326,-0.15740113979416984,-0.5504026640454553,-1.223438592617834,-0.19389003139452068,-0.3948910972013417,-0.9436860047384948,0.10927962409063448,-0.4842282064045332,-1.2074094511966147,-0.043241081852733475,-0.450001771155466,-0.9260925289658011,-0.13818478932768155,-0.3949597542241792,-0.7480444080458243,-0.17564959958626405,-0.2240196812381074,-0.9745846204501571,0.08020144251927619,-0.3255620539680551,-1.2614559412967568,-0.07606348311609559,-0.28951848102514466,-0.8945666790620566,-0.11965175526957104,-0.2296165926461803,-0.7119358155382398,-0.09860168541518914,-0.03513875522471999,-0.9677141440025608,0.017665783999410923,-0.12633596959631202,-1.2438572366779528,-0.13816300720516295,-0.12583490973427894,-0.8745947603326523,-0.09206331173969193,-0.08743403656023369,-0.6687714635578519,-0.004096852453354331,0.17517430162961373,-0.9114522145396636,-0.0532413601567495,0.0662408412524075,-1.1530940165335029,-0.12661664933238986,0.02351616702754222,-0.9031831354281711,-0.06873325184897223,0.038256966235448615,-0.7290486921510706,0.00622196807926513
FIST,0.0,0.0,0.0,-0.2602077215756745,-0.18559744994200061,-0.07995570934180166,-0.4440296984791982,-0.5078593630367424,-0.09486535671114484,-0.559149605276428,-0.7891833229387838,-0.107506608672155,-0.6509928992775762,-1.0217355577009333,-0.11281744433012279,-0.2877093895851872,-0.9522261160841793,0.03448214153094116,-0.3837678150059593,-1.2918917053577592,-0.0016153606113900481,-0.42591877478099077,-1.4879515807369448,-0.04513966535779714,-0.4446389485347211,-1.664118768403015,-0.07934880178894646,-0.10868237719659597,-0.9940765266753344,0.027035140033073543,-0.14961164706971508,-1.359354718922978,0.018653218308274332,-0.1653612394736112,-1.587181987358657,-0.009397522912226498,-0.17530186828819969,-1.7668485528160038,-0.033956726526206314,0.06153815424109102,-0.9464049249632163,-0.0026427922149142857,0.06862002159678048,-1.2920329422089085,-0.030688852237338842,0.06496895152873579,-1.5034408507640047,-0.050322734939412445,0.05501698123551045,-1.6865740100509439,-0.06678595998224247,0.22195167365937982,-0.8307553356715253,-0.04409284632583347,0.2909716595887127,-1.076337334491973,-0.0778210968635999,0.32705935855812607,-1.243013033618534,-0.08543626845546376,0.35562216366259836,-1.4073693117585588,-0.08865326668757505
FIST,0.0,0.0,0.0,-0.25635383605877454,-0.18162025142384128,-0.0845502476262526,-0.4388139287161367,-0.5094912778238128,-0.10324649645385274,-0.551440608548818,-0.7959994558017719,-0.11836987025425458,-0.6435774412676458,-1.031174764252468,-0.12660314526826527,-0.28222653668397785,-0.9541344204440142,0.02056940114148587,-0.37345141968940854,-1.2953710651688872,-0.020691196231998374,-0.413478035663345,-1.4936944002393067,-0.067568622720449,-0.42993390295360695,-1.6723575808285218,-0.10460064474337936,-0.10264241507708476,-0.9947183192377345,0.013359734097143458,-0.13853338717308555,-1.3644533925062652,-0.0014189384095157776,-0.14962100069360243,-1.5957443684848163,-0.03473676664234351,-0.15396406772970045,-1.7814343869037432,-0.06413396117693929,0.0669982142233269,-0.9440534769116946,-0.015538614140586677,0.07980948748132849,-1.292839078274272,-0.049340222167452916,0.08119254592991659,-1.5039784938346847,-0.07444194627020229,0.07636679719272146,-1.6885348957317066,-0.09552104095822933,0.22719637161817455,-0.8247846268314556,-0.0560143961168815,0.29737359055307977,-1.0720093512922764,-0.09434432626617581,0.335012792683412,-1.2400955532258755,-0.10560012613929277,0.364137852819475,-1.4061790979208395,-0.11244092854206486
OPEN_PALM,0.0,0.0,0.0,-0.25200076267388355,-0.1947589831980977,-0.10477254117571627,-0.4240877631418909,-0.5111379375624687,-0.14529139170763994,-0.5344387642303724,-0.8032698186211119,-0.17963702392551753,-0.6132579658446913,-1.0615819632701127,-0.20780747325657584,-0.25568855932614454,-0.9619980855316882,-0.017822188786517708,-0.3311581417807582,-1.309008387601181,-0.08224204720256911,-0.3705552777123907,-1.518205761292746,-0.14513141451439668,-0.3864579297795279,-1.7102287946378754,-0.19373237065708823,-0.07365964639803463,-0.9972834383927753,-0.024452267652186874,-0.08874991375148426,-1.378208137665767,-0.06523580767070099,-0.09341231914965244,-1.6234511313003746,-0.11551282665518675,-0.09488010340553668,-1.833030941825134,-0.1572760646792491,0.09373170900373284,-0.9403231121933794,-0.053481898610737155,0.12361109954391715,-1.299112811960972,-0.11010895310418647,0.1318787443752769,-1.521456203399346,-0.14917936026045922,0.13223354170186852,-1.7226934895143993,-0.17963412222895014,0.24618472401318284,-0.8123245571143656,-0.09477575616573988,0.3336415424165293,-1.062408258062287,-0.1516965199341157,0.38437774076949627,-1.239857684112038,-0.1746342732303542,0.4239213841511624,-1.414522023408193,-0.19020616576075192
